Label:, CH2: Power Spectrum
DateTime:, Wed Jan  1 00:35:51 2003
DataKind:, CH2, PowerSpec, Mag
DataPoints:, 802
DataCalc:
Frequency:, 0.000 , 640.000, Hz
Sample:, 2048, Internal
Average:, 0, Power/Sum
Voltage(CH2):, 10.000, dBVrms
EU/V(CH2):, 1.000E+00
Window(CH2):, Hann
X-AxisScale:, Lin
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, V
Y-AxisMagniude:, rms
4.61600000E+02, -1.12056873E+02
4.62400000E+02, -1.05759788E+02
4.63200000E+02, -1.12481192E+02
4.64000000E+02, -1.02480085E+02
4.64800000E+02, -1.02626934E+02
4.65600000E+02, -1.06183529E+02
4.66400000E+02, -1.05601962E+02
4.67200000E+02, -9.94436552E+01
4.68000000E+02, -1.00502633E+02
4.68800000E+02, -1.05481112E+02
4.69600000E+02, -1.08890711E+02
4.70400000E+02, -1.05971100E+02
4.71200000E+02, -1.08623009E+02
4.72000000E+02, -1.06554544E+02
4.72800000E+02, -1.03067608E+02
4.73600000E+02, -1.13832187E+02
4.74400000E+02, -1.08446706E+02
4.75200000E+02, -1.24438009E+02
4.76000000E+02, -9.96258187E+01
4.76800000E+02, -1.03838554E+02
4.77600000E+02, -1.00973564E+02
4.78400000E+02, -9.94182985E+01
4.79200000E+02, -1.04259695E+02
4.80000000E+02, -1.00398765E+02
4.80800000E+02, -9.70844223E+01
4.81600000E+02, -1.00099893E+02
4.82400000E+02, -1.03752558E+02
4.83200000E+02, -1.11409441E+02
4.84000000E+02, -1.11282412E+02
4.84800000E+02, -1.08503992E+02
4.85600000E+02, -1.06280689E+02
4.86400000E+02, -1.04059524E+02
4.87200000E+02, -1.06778900E+02
4.88000000E+02, -1.24923775E+02
4.88800000E+02, -1.04049333E+02
4.89600000E+02, -1.09270129E+02
4.90400000E+02, -1.07498388E+02
4.91200000E+02, -1.02261969E+02
4.92000000E+02, -1.00386420E+02
4.92800000E+02, -1.09450322E+02
4.93600000E+02, -1.02789994E+02
4.94400000E+02, -1.02317326E+02
4.95200000E+02, -1.04752537E+02
4.96000000E+02, -1.07615196E+02
4.96800000E+02, -1.04740893E+02
4.97600000E+02, -1.09897325E+02
4.98400000E+02, -1.05236046E+02
4.99200000E+02, -1.15440796E+02
5.00000000E+02, -1.10745431E+02
5.00800000E+02, -1.05433650E+02
5.01600000E+02, -1.03098203E+02
5.02400000E+02, -9.99982877E+01
5.03200000E+02, -1.01678043E+02
5.04000000E+02, -1.02595750E+02
5.04800000E+02, -1.00655384E+02
5.05600000E+02, -1.07010831E+02
5.06400000E+02, -1.06352625E+02
5.07200000E+02, -1.01038364E+02
5.08000000E+02, -1.01611820E+02
5.08800000E+02, -1.01802300E+02
5.09600000E+02, -1.08684999E+02
5.10400000E+02, -1.16457189E+02
5.11200000E+02, -1.02321249E+02
5.12000000E+02, -1.01157201E+02
5.12800000E+02, -1.04455184E+02
5.13600000E+02, -1.01011066E+02
5.14400000E+02, -1.01411768E+02
5.15200000E+02, -9.80264766E+01
5.16000000E+02, -1.00865985E+02
5.16800000E+02, -1.06586157E+02
5.17600000E+02, -9.93344644E+01
5.18400000E+02, -1.05526216E+02
5.19200000E+02, -1.09757585E+02
5.20000000E+02, -1.06868223E+02
5.20800000E+02, -1.04421756E+02
5.21600000E+02, -1.12595493E+02
5.22400000E+02, -1.03196269E+02
5.23200000E+02, -1.00807402E+02
5.24000000E+02, -9.92024753E+01
5.24800000E+02, -1.03915919E+02
5.25600000E+02, -1.10852046E+02
5.26400000E+02, -1.06720332E+02
5.27200000E+02, -1.16835598E+02
5.28000000E+02, -1.03432672E+02
5.28800000E+02, -9.87581722E+01
5.29600000E+02, -1.14706181E+02
5.30400000E+02, -9.92653536E+01
5.31200000E+02, -1.08449037E+02
5.32000000E+02, -1.03660541E+02
5.32800000E+02, -1.04116135E+02
5.33600000E+02, -1.01243135E+02
5.34400000E+02, -1.04666412E+02
5.35200000E+02, -1.17684699E+02
5.36000000E+02, -1.03768128E+02
5.36800000E+02, -9.79070842E+01
